Date,Open,High,Low,Close,Volume,FEDFUNDS,CPI,DPI
2017-12-01,6844.040039,7003.890137,6734.129883,6903.390137,38573170000,1.3,104.5515723,14111.5
2018-01-01,6937.649902,7505.77002,6924.080078,7411.47998,44405890000,1.41,104.9473245,14211.4
2018-02-01,7377.169922,7441.089844,6630.669922,7273.009766,43791970000,1.42,105.2409743,14250.1
2018-03-01,7274.75,7637.27002,6901.069824,7063.450195,48355130000,1.51,105.3008856,14298.3
2018-04-01,7016.169922,7319.580078,6805.959961,7066.27002,42932190000,1.69,105.5392651,14329.5
2018-05-01,7053.649902,7492.419922,6991.140137,7442.120117,45405220000,1.7,105.8063346,14373.2
2018-06-01,7487.660156,7806.600098,7419.560059,7510.299805,48305960000,1.82,105.9493623,14416.2
2018-07-01,7451.899902,7933.310059,7443.100098,7671.790039,38678490000,1.91,106.035854,14467
2018-08-01,7701.819824,8133.299805,7659.52002,8109.540039,45900880000,1.91,106.2155879,14509.6
2018-09-01,8087.950195,8104.069824,7873.930176,8046.350098,44545790000,1.95,106.4223241,14498.8
2018-10-01,8091.5,8107.379883,6922.830078,7305.899902,61400960000,2.19,106.6851745,14527.7
2018-11-01,7327.819824,7572.930176,6830.759766,7330.540039,48560650000,2.2,106.5986828,14550.4
2018-12-01,7486.129883,7486.509766,6190.169922,6635.279785,48808340000,2.27,106.5539603,14719.3
2019-01-01,6506.910156,7303.120117,6457.129883,7281.740234,49199040000,2.4,106.5197855,14714.3
2019-02-01,7256.370117,7602.689941,7225.140137,7532.529785,42304540000,2.4,106.8003561,14742.1
2019-03-01,7587.450195,7850.109863,7332.919922,7729.319824,49145540000,2.41,107.2804904,14732.5
2019-04-01,7800.240234,8176.080078,7777.089844,8095.390137,43162800000,2.42,107.6559909,14678
2019-05-01,8132.930176,8164.709961,7448.22998,7453.149902,47405100000,2.39,107.7243404,14673.5
2019-06-01,7441.209961,8088.879883,7292.220215,8006.240234,44505410000,2.38,107.7395292,14686.4
2019-07-01,8145.850098,8339.639648,8059.290039,8175.419922,39238360000,2.4,107.9669391,14703.7
2019-08-01,8190.560059,8311.040039,7662.899902,7962.879883,46090570000,2.13,108.0846522,14777.8
2019-09-01,7906.439941,8243.799805,7847.319824,7999.339844,41462650000,2.04,108.2605889,14807.9
2019-10-01,8026.830078,8335.55957,7700,8292.360352,43976360000,1.83,108.5597236,14821.4
2019-11-01,8335.049805,8705.910156,8326.55957,8665.469727,41581990000,1.55,108.7635064,14885.9
2019-12-01,8672.839844,9052,8435.400391,8972.599609,45940880000,1.55,108.963914,14844.1
2020-01-01,9039.459961,9451.429688,8943.5,9150.94043,52456350000,1.55,109.1406945,14976.5
2020-02-01,9190.719727,9838.370117,8264.160156,8567.370117,53633950000,1.58,109.2778155,15068.8
2020-03-01,8667.139648,9070.320313,6631.419922,7700.100098,96874040000,0.65,108.9225667,14844
2020-04-01,7459.5,8957.269531,7288.109863,8889.549805,78697140000,0.05,108.0487897,17170.7
2020-05-01,8681.290039,9523.639648,8537.830078,9489.870117,80634290000,0.05,107.9855031,16333
2020-06-01,9471.419922,10221.84961,9403,10058.76953,1.11E+11,0.08,108.5225954,16057.3
2020-07-01,10063.66992,10839.92969,10048.04004,10745.26953,94321170000,0.09,109.082049,16151.9
2020-08-01,10848.63965,11829.83984,10762.70996,11775.45996,78408230000,0.1,109.5195703,15553.9
2020-09-01,11850.95996,12074.05957,10519.49023,11167.50977,82059450000,0.09,109.7769358,15643.4
2020-10-01,11291.99023,11965.54004,10822.57031,10911.58984,77827120000,0.09,109.8452854,15568.4
2020-11-01,11010.4502,12244.65039,10830.9502,12198.74023,90598610000,0.09,110.0009704,15366.5
2020-12-01,12313.36035,12973.33008,12214.74023,12888.28027,1.12E+11,0.09,110.3566411,15393.8
2021-01-01,12958.51953,13728.98047,12543.24023,13070.69043,1.38E+11,0.09,110.6249763,16988.6
2021-02-01,13226.17969,14175.12012,13003.98047,13192.34961,1.40E+11,0.08,111.1084859,15548.2
2021-03-01,13406.16016,13620.70996,12397.04981,13246.87012,1.33E+11,0.07,111.8181396,19119.5
2021-04-01,13414.32031,14211.57031,13404.17969,13962.67969,91050570000,0.07,112.5349658,16146.9
2021-05-01,14031.76953,14042.12012,13002.54004,13748.74023,88957750000,0.06,113.3247826,15669.5
2021-06-01,13829.05957,14535.96973,13548.92969,14503.9502,1.08E+11,0.08,114.3188041,15603.3
2021-07-01,14493.69043,14863.65039,14178.66016,14672.67969,88145720000,0.1,114.8373323,15735.2
2021-08-01,14758.59961,15288.08008,14423.16016,15259.24023,87630170000,0.09,115.2204272,15720
2021-09-01,15308.98047,15403.44043,14444.29981,14448.58008,94713820000,0.08,115.693811,15466.3
2021-10-01,14494.92969,15504.12012,14181.69043,15498.38965,98654030000,0.08,116.6962707,15472.4
2021-11-01,15541.25977,16212.23047,15451.38965,15537.69043,1.09E+11,0.08,117.512246,15470.8
2021-12-01,15752.26953,15901.46973,14860.04004,15644.96973,1.04E+11,0.08,118.1881468,15442.7
2022-01-01,15732.5,15852.13965,13094.65039,14239.87988,99683390000,0.08,118.9505394,15163.5
2022-02-01,14277.42969,14509.55957,12587.87988,13751.40039,89103860000,0.08,119.8994165,15173.6
2022-03-01,13716.7002,14646.90039,12555.34961,14220.51953,1.30E+11,0.2,121.3870735,15119.6
2022-04-01,14269.53027,14534.37988,12315.74023,12334.63965,95994300000,0.33,121.7899982,15143.3
2022-05-01,12331.69043,12985.00977,11035.69043,12081.38965,1.11E+11,0.77,122.9759891,15142.2
2022-06-01,12176.88965,12320.12012,10565.13965,11028.74023,1.13E+11,1.21,124.6020328,15105.1
